,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same QTY,Same PRICE
SM333-8,Strathmore Printmaking Light Weight Pad 300 Series 8 x 10 Inch,12017333088,3.0,4.94,-,-,-,-,14.82,0.0,87.0,Shipped 05/15/2023,65186.0,0.0,PRNTMKG 300 LW 8X10 40SH (12),3.0,3.0,0.0,12.95,60.0,5.18,PD,15.54,U-012017333088,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.23999999999999932
SM457-5,Strathmore Sketch Paper Pad 400 Series Recycled 5.5 x 8.5 Inch,12017457050,6.0,4.34,-,-,-,-,26.04,0.0,88.0,Shipped 05/15/2023,514640.0,0.0,SKTCH RCY400 5X8SB SD100(12),6.0,6.0,0.0,11.5,60.0,4.6,PD,27.6,U-012017457050,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.2599999999999998
SM473-1,Strathmore Watercolor Paper Sheet 140lb Cold Press 22 x 30 Inch,12017473012,30.0,1.85,-,-,-,-,55.5,0.0,89.0,Shipped 05/15/2023,35734.0,0.0,W/C PPR 140#CP 22X30,30.0,30.0,0.0,4.75,57.5,2.02,SH,60.6,U-012017473012,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777455,0.0,0.16999999999999993
TB56503,Tombow Brush Pen Dual Tip Colors (026 Yellow Gold),85014565035,3.0,1.65,-,-,-,-,4.95,0.0,90.0,Shipped 05/15/2023,81817.0,0.0,ABT DUAL BRSH 026 YEL GOLD,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014565035,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56513,Tombow Brush Pen Dual Tip Colors (126 Light Olive),85014565134,3.0,1.65,-,-,-,-,4.95,0.0,91.0,Shipped 05/15/2023,82686.0,0.0,ABT DUAL BRSH 126 LT OLIVE,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014565134,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56561,Tombow Brush Pen Dual Tip Colors (533 Peacock),85014565615,3.0,1.65,-,-,-,-,4.95,0.0,92.0,Shipped 05/15/2023,53414.0,0.0,ABT DUAL BRSH 533 PEACOCK,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014565615,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56603,Tombow Brush Pen Dual Tip Colors (885 Warm Red),85014566032,3.0,1.65,-,-,-,-,4.95,0.0,93.0,Shipped 05/15/2023,31631.0,0.0,ABT DUAL BRUSH 885 WARM RED,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566032,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56604,Tombow Brush Pen Dual Tip Colors (899 Red Wood),85014566049,3.0,1.65,-,-,-,-,4.95,0.0,94.0,Shipped 05/15/2023,28061.0,0.0,ABT DUAL BRSH 899 REDWOOD,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566049,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56643,Tombow Brush Pen Dual Tip Neutrals (N89 Warm Gray 1),85014566438,3.0,1.65,-,-,-,-,4.95,0.0,95.0,Shipped 05/15/2023,89362.0,0.0,ABT DUAL BRSH N89 WM GY 1,3.0,3.0,0.0,3.45,50.0,1.73,PE,5.19,U-085014566438,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.08000000000000007
TB56167,Tombow Dual Brush 10 Piece Sets (Primary Palette),85014561679,2.0,14.0,-,-,-,-,28.0,0.0,96.0,Shipped 05/15/2023,33574.0,0.0,ABT DUAL BRSH SET 10/PRIMARY,2.0,2.0,0.0,29.49,50.0,14.75,SE,29.5,U-085014561679,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777394,0.0,0.75
